,time1,signal1,time2,signal2
62,6.77,704.7142857,6.77,26.62857143
63,6.88,703.3428571,6.88,21.57142857
64,6.98,690.3714286,6.98,23.08571429
65,7.09,669.2285714,7.09,32.14285714
66,7.2,657,7.2,28.91428571
67,7.31,636.0571429,7.31,31.97142857
68,7.42,610.1142857,7.42,23.02857143
69,7.52,555.1428571,7.52,16.57142857
70,7.63,506.9142857,7.63,15.34285714
71,7.73,432.9428571,7.73,21
72,7.84,339,7.84,34.22857143
73,7.95,242.8857143,7.95,32.34285714
74,8.06,186.1142857,8.06,25.88571429
75,8.17,147.7428571,8.17,25.42857143
76,8.28,117.7142857,8.28,39.65714286
77,8.39,99.25714286,8.39,30.25714286
78,8.5,67.62857143,8.5,15.42857143
79,8.61,143.5714286,8.61,9.514285714
80,8.72,330.8571429,8.72,11.94285714
81,8.83,522.6571429,8.83,13.8
82,8.92,587.8285714,8.92,21.37142857
83,9.03,595.9714286,9.03,18.42857143
84,9.14,591.3714286,9.14,29.57142857
85,9.25,562.7714286,9.25,29.62857143
86,9.38,521.0285714,9.38,31.62857143
87,9.48,468,9.48,22.51428571
88,9.59,397.7142857,9.59,28.97142857
89,9.7,305.0285714,9.7,15.45714286
90,9.81,213.5142857,9.81,13.82857143
91,9.92,154.6285714,9.92,18.97142857
92,10.03,123.8571429,10.03,22.68571429
93,10.14,107.3428571,10.14,23.42857143
94,10.25,89.65714286,10.25,31.91428571
95,10.38,82.42857143,10.38,32.08571429
96,10.48,72.34285714,10.48,25.4
97,10.59,33.2,10.59,29.57142857
98,10.7,183.6857143,10.7,35.11428571
99,10.8,404.9428571,10.8,26.68571429
100,10.91,588.4285714,10.91,29.45714286
101,11.02,584.7428571,11.02,28.37142857
102,11.13,600.6,11.13,36.57142857
103,11.23,568.4,11.23,32.57142857
104,11.36,527.9428571,11.36,30.65714286
105,11.47,479.3714286,11.47,14
106,11.58,428.2,11.58,15.2
107,11.69,343.1142857,11.69,12.45714286
108,11.8,248.9142857,11.8,29.08571429
109,11.91,171.8571429,11.91,34.97142857
110,12.02,133.7714286,12.02,45.22857143
111,12.13,118.1428571,12.13,37.08571429
112,12.23,105.2285714,12.23,40.14285714
